filename,pesq,stoi
noisy_117_storytell_001_chunk02.wav,4.437,0.991
noisy_118_004_chunk03.wav,nan,0.999
noisy_119_storytell_003_chunk01.wav,4.376,0.982
noisy_120_storytell_003_chunk12.wav,4.351,0.992
noisy_121_storytell_003_chunk05.wav,4.392,0.986
noisy_122_storytell_003_chunk06.wav,4.311,0.985
noisy_123_006_chunk03.wav,4.487,0.997
noisy_124_storytell_002_chunk04.wav,4.362,0.981
noisy_125_008_chunk02.wav,4.537,0.995
noisy_126_storytell_002_chunk11.wav,4.388,0.986
noisy_127_storytell_001_chunk26.wav,4.417,0.981
noisy_128_storytell_002_chunk13.wav,4.398,0.978
noisy_129_storytell_003_chunk01.wav,4.386,0.983
noisy_130_009_chunk03.wav,4.540,0.997
noisy_131_storytell_001_chunk11.wav,4.408,0.988
noisy_132_storytell_002_chunk29.wav,4.444,0.986
noisy_133_storytell_001_chunk19.wav,4.405,0.992
noisy_134_storytell_002_chunk10.wav,4.375,0.988
noisy_135_006_chunk02.wav,4.509,0.996
noisy_136_010_chunk03.wav,4.509,0.998
noisy_137_storytell_001_chunk15.wav,4.479,0.993
noisy_138_storytell_002_chunk19.wav,4.305,0.984
noisy_139_storytell_001_chunk01.wav,4.358,0.988
noisy_140_010_chunk03.wav,4.536,0.998
noisy_141_004_chunk02.wav,4.538,0.997
noisy_142_storytell_002_chunk24.wav,4.420,0.986
noisy_143_storytell_001_chunk01.wav,4.382,0.992
noisy_144_002_chunk03.wav,4.538,0.998
noisy_145_storytell_001_chunk14.wav,4.429,0.992
noisy_146_storytell_002_chunk09.wav,4.452,0.987
noisy_147_storytell_001_chunk07.wav,4.446,0.990
noisy_148_storytell_002_chunk06.wav,4.412,0.983
noisy_149_storytell_002_chunk13.wav,4.355,0.978
noisy_150_storytell_002_chunk36.wav,4.374,0.987
noisy_151_storytell_002_chunk17.wav,4.470,0.984
noisy_152_storytell_001_chunk03.wav,4.407,0.990
noisy_153_storytell_002_chunk04.wav,4.353,0.986
noisy_154_storytell_001_chunk24.wav,nan,0.981
noisy_155_005_chunk02.wav,4.525,0.995
noisy_156_storytell_002_chunk28.wav,4.292,0.980
noisy_157_storytell_001_chunk17.wav,4.443,0.992
noisy_158_storytell_001_chunk24.wav,nan,0.988
noisy_159_storytell_003_chunk18.wav,4.391,0.981
noisy_160_003_chunk02.wav,4.498,0.996
noisy_161_storytell_002_chunk27.wav,4.241,0.980
noisy_162_005_chunk02.wav,4.508,0.996
noisy_163_storytell_001_chunk23.wav,4.449,0.984
noisy_164_storytell_001_chunk15.wav,4.412,0.986
noisy_165_storytell_003_chunk18.wav,4.426,0.986
noisy_166_storytell_001_chunk03.wav,nan,0.988
noisy_167_009_chunk02.wav,4.537,0.996
noisy_168_storytell_002_chunk01.wav,4.435,0.991
noisy_169_storytell_001_chunk26.wav,4.394,0.983
noisy_170_storytell_001_chunk07.wav,4.435,0.985
noisy_171_storytell_001_chunk03.wav,4.478,0.995
noisy_172_storytell_001_chunk28.wav,nan,0.991
noisy_173_storytell_003_chunk18.wav,4.412,0.986
noisy_174_storytell_002_chunk14.wav,4.415,0.984
noisy_175_003_chunk02.wav,4.531,0.997
noisy_176_storytell_002_chunk13.wav,4.390,0.983
noisy_177_001_chunk02.wav,4.534,0.997
noisy_178_storytell_003_chunk04.wav,4.400,0.985
noisy_179_storytell_001_chunk02.wav,4.451,0.993
noisy_180_storytell_001_chunk24.wav,nan,0.986
noisy_181_storytell_002_chunk05.wav,4.337,0.980
noisy_182_storytell_003_chunk18.wav,4.399,0.988
noisy_183_003_chunk03.wav,4.536,0.998
noisy_184_storytell_001_chunk20.wav,4.426,0.988
noisy_185_storytell_001_chunk21.wav,nan,0.987
noisy_186_storytell_003_chunk08.wav,4.367,0.985
noisy_187_storytell_002_chunk02.wav,4.405,0.980
noisy_188_storytell_001_chunk26.wav,4.385,0.985
noisy_189_storytell_003_chunk01.wav,4.297,0.983
noisy_190_storytell_002_chunk15.wav,4.434,0.987
noisy_191_storytell_002_chunk35.wav,4.419,0.985
noisy_192_007_chunk03.wav,4.544,0.999
noisy_193_storytell_001_chunk09.wav,nan,0.984
noisy_194_003_chunk03.wav,4.545,0.998
noisy_195_storytell_003_chunk02.wav,4.393,0.983
noisy_196_003_chunk03.wav,4.542,0.999
noisy_197_storytell_001_chunk12.wav,4.398,0.994
noisy_198_003_chunk02.wav,4.517,0.997
noisy_199_storytell_002_chunk05.wav,4.425,0.984
